City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,ovalle,-30.5983,-71.2003,29.54,26,2,2.25,CL,1690918266
349,kruisfontein,-34.0033,24.7314,8.27,85,32,1.77,ZA,1690918266
350,evian-les-bains,46.4011,6.5879,20.08,79,93,0.45,FR,1690918267
351,igarka,67.4667,86.5833,18.97,66,0,3.16,RU,1690918267
352,lukolela,-1.0605,17.1821,25.05,54,7,1.5,CD,1690918267
353,kidal,18.4411,1.4078,38.15,21,9,6.72,ML,1690918267
354,queenstown,-31.8976,26.8753,5.84,66,8,1.14,ZA,1690918267
355,bichura,50.5881,107.6022,19.42,94,100,1.16,RU,1690918267
356,sakleshpur,12.9667,75.7833,19.02,93,100,4.76,IN,1690918268
357,zaozersk,69.4005,32.4476,12.96,97,37,1.21,RU,1690918268
358,al hazm,16.1641,44.7769,29.08,41,99,4.3,YE,1690918268
359,chibougamau,49.9168,-74.3659,16.79,48,100,4.12,CA,1690918268
360,el chorrillo,-33.2909,-66.268,26.11,28,0,2.35,AR,1690918269
